name,manufacturer,price,description,category
EcoCharge HomeVault 10,EcoCharge,1499,"The HomeVault 10 is a 10kWh LiFePO4 battery designed for whole-home backup. It features an advanced Battery Management System (BMS) for optimal safety and a 6,000 cycle life.",battery
Quantum EnergyBank 5,Quantum Energy,750,"Store your solar energy with the Quantum EnergyBank 5. This 5kWh unit uses safe LiFePO4 technology for reliable, long-lasting performance. Perfect for self-consumption and peak shaving.",battery
AuraPower Reserve 15,AuraPower,1999,"Achieve energy independence with the AuraPower Reserve 15, a scalable 15kWh storage solution. Its modular, stackable design allows for easy installation and future expansion.",battery
VoltStorage Core 2.5,VoltStorage,299.99,"The VoltStorage Core 2.5 is a compact 2.5kWh LFP battery. It's an ideal entry-point for solar storage, helping you optimize self-consumption and reduce your electricity bills.",battery
AmpereDrive Titan 12,AmpereDrive,1750,"This 12kWh Lithium-Ion (NMC) battery is built for high-power applications. It offers excellent power density and round-trip efficiency, perfect for off-grid homes requiring large loads.",battery
PowerFlow Stack 7.5,PowerFlow,1100,"The PowerFlow Stack 7.5 is a 7.5kWh modular LFP battery. You can stack up to four units for a total of 30kWh, making it a flexible solution for growing energy needs.",battery
GridCore WallMount 8,GridCore,1250,"This 8kWh LiFePO4 battery features a slim, wall-mountable design. It integrates seamlessly into your home and provides reliable backup power during grid outages.",battery
ElementVolt LFP 14,ElementVolt,1900,"The ElementVolt LFP 14 is a high-capacity 14kWh battery. It uses cobalt-free LiFePO4 chemistry, offering superior safety, thermal stability, and an exceptionally long lifespan.",battery
ZenithStorage Z-Bank 4,ZenithStorage,600,"A 4kWh LFP battery module that is rack-mountable for easy installation. It's a scalable solution, perfect for building custom-sized battery banks for off-grid or commercial use.",battery
TerraCharge HomeBase 10,TerraCharge,1550,The 10kWh TerraCharge HomeBase provides dependable energy storage. Its integrated smart BMS communicates directly with leading inverters for optimized charging and discharging cycles.,battery
